"last_name, first_name",player_id,year,woba,est_woba,est_woba_minus_woba_diff
"Moustakas, Mike",519058,2020,0.34,0.335,0.005
"Frazier, Clint",640449,2020,0.388,0.363,0.025
"Torres, Gleyber",650402,2020,0.326,0.335,-0.009
"Margot, Manuel",622534,2020,0.301,0.309,-0.008
"Kiermaier, Kevin",595281,2020,0.301,0.325,-0.024
"Galvis, Freddy",520471,2020,0.312,0.301,0.011
"Moore, Dylan",664238,2020,0.368,0.357,0.011
"Gardner, Brett",458731,2020,0.332,0.327,0.005
"Chavis, Michael",656308,2020,0.272,0.294,-0.022
"O'Neill, Tyler",641933,2020,0.271,0.29,-0.019
"Perez, Salvador",521692,2020,0.41,0.409,0.001
"Hosmer, Eric",543333,2020,0.359,0.366,-0.007
"Molina, Yadier",425877,2020,0.29,0.298,-0.008
"France, Ty",664034,2020,0.362,0.36,0.002
"Ramos, Wilson",467092,2020,0.297,0.316,-0.019
"Mullins, Cedric",656775,2020,0.313,0.251,0.062
"Chapman, Matt",656305,2020,0.335,0.35,-0.015
"Meadows, Austin",640457,2020,0.292,0.278,0.014
"Moreland, Mitch",519048,2020,0.372,0.335,0.037
"Lopes, Tim",621005,2020,0.279,0.276,0.003
"Iglesias, Jose",578428,2020,0.407,0.387,0.02
"Valaika, Pat",642162,2020,0.337,0.323,0.014
"Berti, Jon",542932,2020,0.337,0.323,0.014
"Mazara, Nomar",608577,2020,0.267,0.291,-0.024
"Hernández, Enrique",571771,2020,0.29,0.29,0
"Joyce, Matt",459964,2020,0.31,0.31,0
"Odor, Rougned",596059,2020,0.259,0.282,-0.023
"Rosario, Amed",642708,2020,0.277,0.261,0.016
"Jansen, Danny",643376,2020,0.3,0.354,-0.054
"Bryant, Kris",592178,2020,0.285,0.284,0.001
"Choi, Ji Man",596847,2020,0.316,0.276,0.04
"Bote, David",623520,2020,0.309,0.325,-0.016
"Rojas, Miguel",500743,2020,0.379,0.332,0.047
"Stallings, Jacob",607732,2020,0.309,0.277,0.032
"Panik, Joe",605412,2020,0.296,0.322,-0.026
"Naquin, Tyler",571980,2020,0.268,0.326,-0.058
"Markakis, Nick",455976,2020,0.307,0.31,-0.003
"Braun, Ryan",460075,2020,0.322,0.342,-0.02
"Mountcastle, Ryan",663624,2020,0.377,0.328,0.049
"Castro, Willi",650489,2020,0.393,0.368,0.025
"Murphy, Sean",669221,2020,0.358,0.348,0.01
"Thames, Eric",519346,2020,0.276,0.305,-0.029
"Renfroe, Hunter",592669,2020,0.277,0.318,-0.041
"García Jr., Luis",671277,2020,0.291,0.296,-0.005
"Pederson, Joc",592626,2020,0.297,0.339,-0.042
"Díaz, Yandy",650490,2020,0.367,0.327,0.04
"Smith, Will",669257,2020,0.411,0.407,0.004
"Vogelbach, Daniel",596129,2020,0.317,0.335,-0.018
"Buxton, Byron",621439,2020,0.345,0.335,0.01
"Romine, Austin",519222,2020,0.253,0.231,0.022
"Gyorko, Jedd",576397,2020,0.351,0.357,-0.006
"Kipnis, Jason",543401,2020,0.326,0.282,0.044
"Hays, Austin",669720,2020,0.315,0.292,0.023
"Taveras, Leody",665750,2020,0.307,0.305,0.002
"Cooper, Garrett",643265,2020,0.365,0.383,-0.018
"Caratini, Victor",605170,2020,0.297,0.285,0.012
"Giménez, Andrés",665926,2020,0.321,0.303,0.018
"O'Hearn, Ryan",656811,2020,0.269,0.317,-0.048
"Kemp, Matt",461314,2020,0.322,0.321,0.001
"Murphy, Daniel",502517,2020,0.259,0.267,-0.008
"Smoak, Justin",475253,2020,0.265,0.26,0.005
"Adell, Jo",666176,2020,0.212,0.232,-0.02
"Inciarte, Ender",542255,2020,0.233,0.253,-0.02
"Suzuki, Kurt",435559,2020,0.326,0.308,0.018
"Kelly, Carson",608348,2020,0.279,0.27,0.009
"Sogard, Eric",519299,2020,0.254,0.29,-0.036
"Bichette, Bo",666182,2020,0.353,0.359,-0.006
"Long Jr., Shed",643418,2020,0.238,0.248,-0.01
"Tellez, Rowdy",642133,2020,0.369,0.368,0.001
"Camargo, Johan",622666,2020,0.262,0.24,0.022
"Choo, Shin-Soo",425783,2020,0.312,0.34,-0.028
"Gamel, Ben",592325,2020,0.313,0.33,-0.017
"Simmons, Andrelton",592743,2020,0.313,0.262,0.051
"Hoerner, Nico",663538,2020,0.265,0.297,-0.032
"Narváez, Omar",553882,2020,0.262,0.269,-0.007
"Pham, Tommy",502054,2020,0.284,0.353,-0.069
"Bader, Harrison",664056,2020,0.337,0.324,0.013
"Kingery, Scott",664068,2020,0.227,0.302,-0.075
"Albies, Ozzie",645277,2020,0.329,0.294,0.035
"Cave, Jake",595909,2020,0.293,0.272,0.021
"Kieboom, Carter",666198,2020,0.275,0.274,0.001
"Arraez, Luis",650333,2020,0.335,0.357,-0.022
"Sisco, Chance",642082,2020,0.335,0.327,0.008
"Peraza, José",606299,2020,0.27,0.291,-0.021
"Urías, Luis",649966,2020,0.273,0.27,0.003
"DeShields, Delino",592261,2020,0.28,0.267,0.013
"Carlson, Dylan",666185,2020,0.264,0.314,-0.05
"Gomes, Yan",543228,2020,0.332,0.338,-0.006
"Tucker, Cole",657061,2020,0.233,0.215,0.018
"Quinn, Roman",596451,2020,0.254,0.245,0.009
"Marmolejos, José",592530,2020,0.287,0.317,-0.03
"Varsho, Daulton",662139,2020,0.287,0.288,-0.001
"Mendick, Danny",664901,2020,0.285,0.257,0.028
"Hilliard, Sam",656541,2020,0.301,0.266,0.035
"Judge, Aaron",592450,2020,0.375,0.378,-0.003
"Kemp, Tony",643393,2020,0.307,0.329,-0.022
"Stewart, DJ",621466,2020,0.353,0.336,0.017
"Brinson, Lewis",621446,2020,0.275,0.296,-0.021
"McCann, James",543510,2020,0.378,0.343,0.035
"Bart, Joey",663698,2020,0.271,0.248,0.023
"Andrus, Elvis",462101,2020,0.255,0.295,-0.04
"Tauchman, Mike",643565,2020,0.286,0.3,-0.014
"Barnhart, Tucker",571466,2020,0.296,0.315,-0.019
