"player_name","player_id","game_year","woba_denom","bbe","woba","est_woba","xwoba","sa_xwoba","xwobacon","sa_xwobacon"
"Herrera, Odúbel",546318,2022,194,141,0.287,0.272,0.29,0.285,48.5011412194784,47.6069998357691
"Alford, Anthony",546990,2020,29,20,0.306,0.228,0.236,0.217,6.15302725364666,5.58188639132261
"Alford, Anthony",546990,2021,147,75,0.31,0.289,0.294,0.298,33.3992656365477,33.935402484736
"Almora Jr., Albert",546991,2020,34,21,0.223,0.211,0.213,0.209,4.45115313955455,4.29082993313737
"Almora Jr., Albert",546991,2021,54,35,0.143,0.161,0.174,0.175,7.97509652175307,8.06420916799608
"Almora Jr., Albert",546991,2022,230,167,0.279,0.27,0.287,0.298,53.2991725099576,55.9517373810227
"Poteet, Cody",547001,2021,10,7,0.088,0.132,0.165,0.191,1.64942415033694,1.90545922255352
"Ruiz, Rio",547004,2020,201,140,0.303,0.277,0.277,0.268,44.5284546627054,42.6510001515599
"Ruiz, Rio",547004,2021,140,90,0.231,0.249,0.256,0.247,26.7575389445052,25.5228983333358
"Delmonico, Nicky",547170,2020,22,18,0.184,0.202,0.209,0.201,3.20544598492595,3.02685259802879
"Wolters, Tony",547172,2020,107,72,0.249,0.294,0.302,0.28,27.4503859383009,25.0580564856898
"Wolters, Tony",547172,2021,29,13,0.21,0.215,0.24,0.237,3.44981006573889,3.36714052925099
"Harper, Bryce",547180,2020,235,150,0.4,0.454,0.456,0.452,77.0977956960924,76.1609732888638
"Harper, Bryce",547180,2021,583,359,0.431,0.43,0.436,0.443,190.591386533786,194.536690158246
"Harper, Bryce",547180,2022,416,289,0.369,0.38,0.397,0.394,137.006914068241,136.006564688614
"Harper, Bryce",547180,2023,538,342,0.384,0.399,0.411,0.401,166.969472753278,161.723336657415
"Pérez, Roberto",547379,2020,110,59,0.228,0.267,0.272,0.274,20.870451813878,21.0930357820848
"Pérez, Roberto",547379,2021,159,87,0.251,0.299,0.313,0.293,37.2414499492711,34.032736175792
"Pérez, Roberto",547379,2022,69,35,0.315,0.308,0.32,0.328,15.7639953740015,16.2976164048136
"Kim, Kwang Hyun",547942,2021,27,19,0.138,0.14,0.184,0.179,4.26322067559525,4.13106789291458
"Abreu, José",547989,2020,261,182,0.411,0.399,0.4,0.386,90.3484253907963,86.7464215274398
"Abreu, José",547989,2021,654,430,0.354,0.349,0.363,0.368,181.078334174629,184.402447467158
"Abreu, José",547989,2022,675,492,0.361,0.373,0.387,0.379,210.770949844727,205.714254070751
"Abreu, José",547989,2023,590,415,0.295,0.314,0.321,0.317,156.697151252788,153.963844740304
"Díaz, Elias",553869,2020,73,53,0.281,0.309,0.313,0.311,19.3810206294081,19.2182306322903
